kingdom,class,species,decimalLatitude,decimalLongitude,species_fr
Animalia,Aves,Aythya nyroca,45.2933,20.4284,Fuligule nyroca
Animalia,Aves,Crex crex,43.1456,22.6061,Râle des genêts
Animalia,Aves,Limosa limosa,45.0811,20.6334,Barge à queue noire
Animalia,Mammalia,Sciurus vulgaris,44.778867,20.467117000000002,Ecureuil Roux
Plantae,Magnoliopsida,Chelidonium majus,45.798474,20.122656,Grande chélidoine
Plantae,Magnoliopsida,Malva sylvestris,43.974292999999996,19.566506,Grande mauve
Plantae,Magnoliopsida,Bellis perennis,45.799306,20.124244,Paquerette
Animalia,Aves,Aythya nyroca,46.0442,19.9375,Fuligule nyroca
Animalia,Aves,Aythya nyroca,46.0412,20.1208,Fuligule nyroca
Animalia,Aves,Aythya nyroca,45.4283,19.9337,Fuligule nyroca
Animalia,Aves,Aythya nyroca,44.8475,20.5333,Fuligule nyroca
Plantae,Magnoliopsida,Sempervivum tectorum,44.760036,20.736317,Joubarbe des toits
Plantae,Magnoliopsida,Phytolacca americana,44.825821999999995,20.462787,Raisin d'Amérique
Plantae,Magnoliopsida,Robinia pseudoacacia,45.825904,19.64126,Robinier faux acacia
Plantae,Magnoliopsida,Chelidonium majus,45.665655,19.692757999999998,Grande chélidoine
Plantae,Magnoliopsida,Achillea millefolium,43.885239,19.552802,Achilée millefeuille
Plantae,Magnoliopsida,Phytolacca americana,43.824166999999996,20.478333,Raisin d'Amérique
Plantae,Magnoliopsida,Achillea millefolium,44.7729,19.648378,Achilée millefeuille
Plantae,Magnoliopsida,Phytolacca americana,44.807935,20.701710000000002,Raisin d'Amérique
Plantae,Magnoliopsida,Sempervivum tectorum,45.756667,19.105,Joubarbe des toits
Plantae,Magnoliopsida,Hedera helix,45.258479,19.845501000000002,Lierre grimpant
Plantae,Magnoliopsida,Achillea millefolium,44.478479,20.577433,Achilée millefeuille
Plantae,Magnoliopsida,Achillea millefolium,42.923333,22.039167000000003,Achilée millefeuille
Plantae,Magnoliopsida,Achillea millefolium,44.813515,20.370178,Achilée millefeuille
Plantae,Magnoliopsida,Hedera helix,44.796478,20.498018,Lierre grimpant
Plantae,Magnoliopsida,Chelidonium majus,44.734673,20.464148,Grande chélidoine
